Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742435492.123272574,10130,1742435492,122328348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593443,0,0,0.295268,3.8147e-06,-0.000686646,-0.000686646,-0.0105835,0.401836,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,1.8675,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593443,1742435492,122608797,3.48065,-5.0005,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593444,1742435592,527944,47.6456,35.7384,46.7926,0.875174,47.592,0.146989,47.5961,0.0575606,47.5865,0.0492335,47.5983,0.0310259,47.5999,0.0490883,47.5851,0.0516129,47.6058,0.0388297,47.6027,0.0387963,47.6519,0.0697597,47.6155,0.0646666
1742435492.123956863,10131,1742435492,123322462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593445,0,0,0.295268,3.8147e-06,-0.000686646,-0.000686646,0.0205444,0.411018,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,1.8675,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593443,1742435492,123623423,3.48065,-5.0005,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593445,1742435592,528943,47.6456,35.7384,46.7926,0.877696,47.592,0.141921,47.5961,0.0549442,47.5733,0.0466422,47.5983,0.0336114,47.613,0.0439211,47.572,0.0541935,47.6058,0.0388297,47.6027,0.0362099,47.6387,0.067176,47.6155,0.0724266
1742435492.124957505,10132,1742435492,124318816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593446,0,0,0.295268,3.8147e-06,-0.000686646,-0.404442,0.0105835,0.324485,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593445,1742435492,124605312,3.83919,-4.76125,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593446,1742435592,529946,47.6323,35.7384,46.7926,0.877696,47.592,0.144455,47.5961,0.060177,47.5865,0.0466422,47.5851,0.0310259,47.613,0.0413375,47.572,0.0464516,47.6058,0.0362411,47.6159,0.0465556,47.6387,0.0620086,47.6155,0.0672533
1742435492.125962595,10133,1742435492,125633090,0.296706,0,0.0100024,-0.0019024,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593446,0,0,0.295268,3.8147e-06,-0.000686646,-0.404442,0.0105835,0.324485,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593446,1742435492,125646562,2.98079,-3.82236,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593447,1742435592,530944,47.6456,35.7384,46.7926,0.872652,47.592,0.141921,47.5961,0.0654098,47.5733,0.0466422,47.5851,0.0310259,47.613,0.0335867,47.5851,0.0464516,47.6058,0.0284751,47.6027,0.0465556,47.6387,0.0645923,47.6155,0.06984
1742435492.126970629,10134,1742435492,126511812,0.296706,0,0.00192338,-0.00531379,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593448,0,0,0.295268,3.8147e-06,-0.000686646,0.268482,-0.0118286,0.411018,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593447,1742435492,126662404,2.72409,-2.88878,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593448,1742435592,531944,47.6456,35.7384,46.7926,0.875174,47.592,0.139386,47.5961,0.0706426,47.5733,0.044051,47.5983,0.0284404,47.613,0.0361703,47.5851,0.0412903,47.6058,0.0310638,47.6027,0.0413828,47.6387,0.0594249,47.6155,0.0672533
1742435492.127976871,10135,1742435492,127482918,0.296706,0,-0.0034626,-0.0019024,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593448,0,0,0.295268,3.8147e-06,-0.000686646,0.268482,-0.0118286,0.411018,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593448,1742435492,127672390,3.55125,-5.12606,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593448,1742435592,531944,47.6456,35.7384,46.7926,0.875174,47.592,0.139386,47.5961,0.0706426,47.5733,0.044051,47.5983,0.0284404,47.613,0.0361703,47.5851,0.0412903,47.6058,0.0310638,47.6027,0.0413828,47.6387,0.0594249,47.6155,0.0672533
1742435492.128979304,10136,1742435492,128550632,0.296706,0,-0.0034626,-0.0019024,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593448,0,0,0.295268,3.8147e-06,-0.000686646,0.268482,-0.0118286,0.411018,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593448,1742435492,127672390,3.55125,-5.12606,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593449,1742435592,532943,47.6456,35.7384,46.7926,0.880218,47.592,0.146989,47.5961,0.073259,47.5733,0.0414598,47.5983,0.0258549,47.613,0.0361703,47.5851,0.0412903,47.6058,0.0310638,47.6027,0.0439692,47.6387,0.0594249,47.6155,0.06984
1742435492.129962314,10136,1742435492,128550632,0.296706,0,-0.0034626,-0.0019024,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593450,0,0,0.295268,3.8147e-06,-0.000686646,-0.269855,-0.0242798,0.382171,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593448,1742435492,128864520,3.55125,-5.12606,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593450,1742435592,533944,47.6323,35.7384,46.7926,0.88274,47.6052,0.152058,47.5961,0.073259,47.5733,0.0414598,47.5983,0.0284404,47.613,0.0335867,47.5851,0.043871,47.6058,0.0362411,47.6027,0.0413828,47.6387,0.0594249,47.6155,0.0724266
1742435492.130970220,10138,1742435492,130506347,0.296706,0,-0.0034626,-0.00872509,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593451,0,0,0.295268,3.8147e-06,0.268482,0.268482,0.0778198,0.428061,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593451,1742435492,130619883,4.50024,-4.32283,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593451,1742435592,534943,47.6323,35.7384,46.7926,0.885263,47.592,0.152058,47.5961,0.0706426,47.5733,0.0336861,47.5983,0.0284404,47.5999,0.0361703,47.5851,0.0464516,47.6058,0.0388297,47.6027,0.0413828,47.6387,0.0620086,47.6155,0.0672533
1742435492.131970030,10139,1742435492,131515245,0.296706,0,0.0126954,0.001509,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,593452,0,0,0.295268,3.8147e-06,-0.135273,-0.539024,0.00933838,0.320552,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,593452,1742435492,131619181,2.93473,-3.78862,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,593452,1742435592,535944,47.6323,35.7384,46.7926,0.890307,47.592,0.149524,47.5961,0.0680262,47.5733,0.0259124,47.5983,0.0284404,47.5999,0.0361703,47.5851,0.0490322,47.6058,0.044007,47.6027,0.0439692,47.6387,0.067176,47.6155,0.0672533
