Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742435759.400426160,11211,1742435759,395819720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65678,0,0,0.298144,3.8147e-06,-0.269855,-0.135273,0.259611,-0.110782,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65677,1742435759,399403822,1.26997,3.70248,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65679,1742435859,804950,47.6323,35.7384,46.7926,0.935705,47.6052,0.159661,47.6093,0.060177,47.5997,0.0492335,47.5851,0.0413679,47.613,0.025836,47.5851,0.0541935,47.6058,0.0336524,47.629,0.0594877,47.6652,0.0645923,47.6155,0.04656
1742435759.401024113,11215,1742435759,399792367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65679,0,0,0.298144,3.8147e-06,-0.135273,0.1339,0.14755,-0.0989832,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65678,1742435759,400403920,1.48582,4.32191,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65680,1742435859,805966,47.6323,35.7384,46.7926,0.938227,47.6052,0.157127,47.6093,0.060177,47.5997,0.0466422,47.5983,0.0439534,47.613,0.025836,47.5851,0.0567742,47.6058,0.0362411,47.629,0.0594877,47.6519,0.0594249,47.6155,0.0491466
1742435759.401897394,11216,1742435759,401089137,0.296706,0,0.0418745,0.0113463,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65679,0,0,0.298144,3.8147e-06,-0.135273,0.1339,0.14755,-0.0989832,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65679,1742435759,401396530,0.484863,2.87665,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65680,1742435859,805966,47.6323,35.7384,46.7926,0.938227,47.6052,0.157127,47.6093,0.060177,47.5997,0.0466422,47.5983,0.0439534,47.613,0.025836,47.5851,0.0567742,47.6058,0.0362411,47.629,0.0594877,47.6519,0.0594249,47.6155,0.0491466
1742435759.402915828,11217,1742435759,401963154,0.296706,0,0.0205806,-0.0222734,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65680,0,0,0.298144,3.8147e-06,-0.404442,0.403069,0.158756,-0.0609631,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65680,1742435759,402397491,0.976316,2.56378,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65681,1742435859,806997,47.6456,35.7384,46.7926,0.948315,47.6052,0.169798,47.6093,0.0549442,47.5865,0.0466422,47.5983,0.0413679,47.613,0.025836,47.5851,0.0516129,47.6058,0.0414184,47.629,0.0594877,47.6519,0.0645923,47.6155,0.0491466
1742435759.403925526,11218,1742435759,402936660,0.296706,0,0.055662,-0.0515057,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65682,0,0,0.298144,3.8147e-06,-0.000686646,0.1339,0.242179,-0.0701404,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65681,1742435759,403408309,0.461242,3.36917,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65682,1742435859,807993,47.6456,35.7384,46.7926,0.955882,47.6052,0.167264,47.6093,0.0497115,47.5865,0.044051,47.5983,0.0336114,47.613,0.0284196,47.5851,0.0464516,47.6058,0.0414184,47.629,0.0543149,47.6519,0.0620086,47.6155,0.04656
1742435759.405036824,11219,1742435759,403929846,0.296706,0,-0.0145013,0.00695941,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65683,0,0,0.298144,3.8147e-06,-0.000686646,0.268482,0.158756,-0.105538,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65682,1742435759,404410423,1.71755,3.64428,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65684,1742435859,809948,47.6456,35.7384,46.7926,0.963448,47.6052,0.164729,47.5961,0.0497115,47.5865,0.0492335,47.5983,0.0361969,47.613,0.0335867,47.572,0.043871,47.6058,0.0388297,47.6159,0.0517285,47.6519,0.0516738,47.6155,0.05432
1742435759.405895481,11220,1742435759,404901912,0.296706,0,0.00178848,-0.0237357,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65683,0,0,0.298144,3.8147e-06,-0.000686646,0.268482,0.158756,-0.105538,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65683,1742435759,405397080,0.531294,3.0839,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65684,1742435859,809948,47.6456,35.7384,46.7926,0.963448,47.6052,0.164729,47.5961,0.0497115,47.5865,0.0492335,47.5983,0.0361969,47.613,0.0335867,47.572,0.043871,47.6058,0.0388297,47.6159,0.0517285,47.6519,0.0516738,47.6155,0.05432
1742435759.406978235,11221,1742435759,405917177,0.296706,0,0.000537361,-0.0398139,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65685,0,0,0.298144,3.8147e-06,0.1339,-0.000686646,0.229728,-0.0845618,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65684,1742435759,406394138,2.78542,3.79093,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65686,1742435859,811942,47.6323,35.7384,46.7926,0.968492,47.6052,0.164729,47.5961,0.0470951,47.5865,0.054416,47.5983,0.0336114,47.613,0.0413375,47.572,0.043871,47.6058,0.0388297,47.629,0.0517285,47.6387,0.0516738,47.6155,0.0491466
1742435759.407907389,11222,1742435759,406920475,0.296706,0,-0.0157525,-0.00911928,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65685,0,0,0.298144,3.8147e-06,0.1339,-0.000686646,0.229728,-0.0845618,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65685,1742435759,407415516,1.44926,3.66727,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65687,1742435859,812958,47.6323,35.7384,46.7926,0.96597,47.6052,0.162195,47.6093,0.0418623,47.5865,0.0518247,47.5851,0.0310259,47.613,0.0361703,47.572,0.0387097,47.6058,0.0362411,47.6159,0.0543149,47.6519,0.0490901,47.6155,0.0517333
1742435759.408914079,11223,1742435759,408272381,0.296706,0,-0.0157525,-0.00911928,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65687,0,0,0.298144,3.8147e-06,-0.539024,-0.135273,0.217277,-0.15274,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,65686,1742435759,408428254,1.53028,4.61863,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,65687,1742435859,812958,47.6323,35.7384,46.7926,0.96597,47.6052,0.162195,47.6093,0.0418623,47.5865,0.0518247,47.5851,0.0310259,47.613,0.0361703,47.572,0.0387097,47.6058,0.0362411,47.6159,0.0543149,47.6519,0.0490901,47.6155,0.0517333
