Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742435944.041754523,4933,1742435944,40715226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250013,0,0,0.296706,-0.00143433,-0.135273,0.537651,0.120154,0.441172,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,2.0944,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250013,1742435944,40885306,4.98759,-3.51571,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250014,1742436044,445942,47.6456,35.7483,46.8057,0.88274,47.6052,0.18247,47.6093,0.0654098,47.5865,0.0570072,47.5851,0.0439534,47.613,0.0335867,47.5851,0.0335484,47.619,0.0336524,47.629,0.049142,47.6387,0.0413391,47.6287,0.0413866
1742435944.042404893,4934,1742435944,41703547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250015,0,0,0.296706,-0.00143433,-0.000686646,-0.539024,0.206071,0.442483,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,2.0944,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250015,1742435944,41850332,5.76267,-2.48876,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250015,1742436044,446942,47.6456,35.7384,46.8057,0.880218,47.6052,0.169798,47.6093,0.0680262,47.5865,0.0518247,47.5851,0.0361969,47.613,0.0335867,47.5851,0.0309677,47.619,0.0336524,47.629,0.0569013,47.6387,0.0465065,47.6287,0.0362133
1742435944.043420126,4935,1742435944,42967262,0.296706,0,-0.00203504,0.00463135,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250016,0,0,0.296706,-0.00143433,-0.135273,0.268482,0.227238,0.334974,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250016,1742435944,42860541,4.99551,-1.02036,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250015,1742436044,446942,47.6456,35.7384,46.8057,0.880218,47.6052,0.169798,47.6093,0.0680262,47.5865,0.0518247,47.5851,0.0361969,47.613,0.0335867,47.5851,0.0309677,47.619,0.0336524,47.629,0.0569013,47.6387,0.0465065,47.6287,0.0362133
1742435944.044416544,4936,1742435944,43852447,0.296706,0,0.00390568,-0.00617754,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250017,0,0,0.296706,-0.00143433,0.403069,-0.135273,0.158756,0.456904,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250017,1742435944,43910175,5.47039,-3.22498,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250017,1742436044,448937,47.6456,35.7483,46.8057,0.877696,47.6052,0.159661,47.6093,0.073259,47.5865,0.044051,47.5851,0.0284404,47.6262,0.0361703,47.5851,0.0335484,47.619,0.0336524,47.629,0.0543149,47.6519,0.0439228,47.6287,0.0413866
1742435944.045405602,4937,1742435944,44834561,0.296706,0,0.00390568,-0.00617754,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250017,0,0,0.296706,-0.00143433,0.403069,-0.135273,0.158756,0.456904,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250017,1742435944,44857217,5.47039,-3.22498,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250018,1742436044,449945,47.6456,35.7483,46.8057,0.885263,47.6052,0.169798,47.6093,0.073259,47.5865,0.0414598,47.5851,0.0232694,47.613,0.0361703,47.5851,0.0309677,47.619,0.0414184,47.6159,0.049142,47.6519,0.0439228,47.6287,0.0439733
1742435944.046424612,4938,1742435944,45870403,0.296706,0,-0.00203504,0.0019291,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250019,0,0,0.296706,-0.00143433,-0.000686646,0.268482,0.164982,0.417573,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250019,1742435944,45903555,5.17624,-2.70619,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250018,1742436044,449945,47.6456,35.7483,46.8057,0.885263,47.6052,0.169798,47.6093,0.073259,47.5865,0.0414598,47.5851,0.0232694,47.613,0.0361703,47.5851,0.0309677,47.619,0.0414184,47.6159,0.049142,47.6519,0.0439228,47.6287,0.0439733
1742435944.047418309,4939,1742435944,46861828,0.296706,0,0.00588589,-0.0034753,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250020,0,0,0.296706,-0.00143433,0.268482,-0.269855,0.245915,0.430683,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250020,1742435944,46943781,6.01187,-1.87267,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250020,1742436044,451938,47.6456,35.7483,46.8057,0.907962,47.6052,0.152058,47.6093,0.073259,47.5865,0.0414598,47.5983,0.0232694,47.613,0.0310031,47.5851,0.0335484,47.6058,0.0465957,47.629,0.049142,47.6387,0.0465065,47.6287,0.0388
1742435944.048402919,4940,1742435944,47853990,0.296706,0,0.00588589,-0.0034753,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250021,0,0,0.296706,-0.00143433,-0.000686646,-0.135273,0.255875,0.359883,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250021,1742435944,47862214,5.47131,-0.953898,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250020,1742436044,451938,47.6456,35.7483,46.8057,0.907962,47.6052,0.152058,47.6093,0.073259,47.5865,0.0414598,47.5983,0.0232694,47.613,0.0310031,47.5851,0.0335484,47.6058,0.0465957,47.629,0.049142,47.6387,0.0465065,47.6287,0.0388
1742435944.049406697,4941,1742435944,48832040,0.296706,0,-5.48398e-05,0.00733351,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250022,0,0,0.296706,-0.00143433,-0.269855,0.1339,0.203581,0.374305,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250022,1742435944,48856040,5.13477,-1.75051,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250021,1742436044,452942,47.6456,35.7483,46.8057,0.910484,47.6052,0.152058,47.6093,0.0758754,47.5865,0.044051,47.5983,0.0258549,47.613,0.0335867,47.5851,0.0335484,47.6058,0.051773,47.629,0.0465556,47.6519,0.0465065,47.6287,0.0413866
1742435944.050405611,4942,1742435944,49831498,0.296706,0,0.00588589,-0.000773137,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,250023,0,0,0.296706,-0.00143433,0.1339,-0.269855,0.138834,0.382171,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,250023,1742435944,49858186,4.62934,-2.6242,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,250022,1742436044,453942,47.6456,35.7483,46.8057,0.910484,47.592,0.152058,47.6093,0.0784918,47.5865,0.0414598,47.5983,0.0284404,47.613,0.0335867,47.5851,0.0387097,47.6058,0.051773,47.629,0.0439692,47.6519,0.0465065,47.6155,0.0439733
