Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742435879.608377751,8596,1742435879,607554486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185683,0,0,0.29383,0.00144196,-0.135273,0.268482,-0.268327,0.484436,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0.00418879,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185682,1742435879,607124181,0.948077,-9.48779,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185684,1742435980,12956,47.6323,35.7384,46.8057,0.915528,47.6052,0.164729,47.5961,0.0470951,47.5865,0.0518247,47.5851,0.0336114,47.613,0.0361703,47.572,0.0516129,47.6058,0.0465957,47.629,0.0827655,47.6387,0.0439228,47.6155,0.0388
1742435879.609070776,8597,1742435879,608611224,0.296706,0,0.0177527,-0.0297819,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185684,0,0,0.29383,0.00144196,-0.000686646,0.268482,-0.194865,0.411018,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185683,1742435879,608016503,1.92555,-8.92347,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185685,1742435980,13947,47.6323,35.7384,46.8057,0.910484,47.6052,0.162195,47.5961,0.0470951,47.5865,0.0518247,47.5851,0.0284404,47.613,0.0387539,47.572,0.0516129,47.6058,0.0491843,47.6159,0.085352,47.6519,0.0387554,47.6155,0.0388
1742435879.610069786,8598,1742435879,609485497,0.296706,0,-0.0052307,-0.0331849,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185685,0,0,0.29383,0.00144196,-0.000686646,0.403069,-0.244669,0.485747,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185684,1742435879,609041304,1.92573,-7.2003,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185686,1742435980,14941,47.6323,35.7384,46.8057,0.902917,47.6052,0.167264,47.5961,0.0444787,47.5865,0.0466422,47.5851,0.0284404,47.613,0.0361703,47.572,0.0464516,47.6058,0.0491843,47.6159,0.085352,47.6519,0.0387554,47.6155,0.0388
1742435879.611072124,8599,1742435879,610543483,0.296706,0,-0.00791156,-0.0498287,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185686,0,0,0.29383,0.00144196,0.168232,-0.539024,-0.258366,0.445105,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185685,1742435879,610045754,2.14786,-8.67195,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185687,1742435980,15962,47.6456,35.7384,46.8057,0.895351,47.6052,0.164729,47.5961,0.0444787,47.5865,0.0518247,47.5851,0.0232694,47.613,0.0361703,47.572,0.0387097,47.6058,0.0491843,47.6159,0.0827655,47.6519,0.0413391,47.6155,0.0413866
1742435879.612082654,8600,1742435879,611554141,0.296706,0,-0.0179922,0.0624055,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185687,0,0,0.29383,0.00144196,-0.000686646,-0.000686646,-0.301945,0.387415,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185686,1742435879,611027260,1.66394,-8.33266,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185688,1742435980,16956,47.6456,35.7384,46.8057,0.890307,47.6052,0.162195,47.5961,0.0418623,47.5865,0.0518247,47.5851,0.0232694,47.613,0.0387539,47.572,0.0464516,47.6058,0.044007,47.6159,0.0775927,47.6519,0.0361717,47.6155,0.0413866
1742435879.613077599,8601,1742435879,612562239,0.296706,0,0.000130937,0.000102277,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185688,0,0,0.29383,0.00144196,0.168232,0.1339,-0.228483,0.34284,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185687,1742435879,612023134,0.76212,-8.12395,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185689,1742435980,17942,47.6323,35.7384,46.8057,0.897873,47.6052,0.164729,47.5961,0.0470951,47.5865,0.054416,47.5851,0.0232694,47.613,0.0335867,47.572,0.0412903,47.6058,0.044007,47.6159,0.0724198,47.6519,0.0361717,47.6155,0.0491466
1742435879.614084545,8602,1742435879,613522400,0.296706,0,-0.0313963,-0.0208127,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185689,0,0,0.29383,0.00144196,0.1339,-0.000686646,-0.270817,0.434616,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185688,1742435879,613025375,1.01918,-6.75146,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185690,1742435980,18944,47.6323,35.7384,46.8057,0.902917,47.592,0.164729,47.5961,0.0497115,47.5865,0.0492335,47.5851,0.0232694,47.613,0.0310031,47.572,0.0412903,47.6058,0.0491843,47.6159,0.0750063,47.6519,0.0361717,47.6155,0.04656
1742435879.615072483,8603,1742435879,614538178,0.296706,0,-0.0228525,-0.00330075,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185690,0,0,0.29383,0.00144196,-0.000686646,0.1339,-0.19362,0.476569,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185689,1742435879,614038593,1.45966,-8.34591,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185691,1742435980,19970,47.6323,35.7384,46.7926,0.913006,47.592,0.154592,47.5961,0.0497115,47.5997,0.0518247,47.5851,0.0232694,47.613,0.0310031,47.572,0.0464516,47.619,0.0491843,47.6159,0.0750063,47.6519,0.0310043,47.6155,0.0439733
1742435879.616074341,8604,1742435879,615545508,0.296706,0,-0.00254992,-0.0165415,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185691,0,0,0.29383,0.00144196,-0.000686646,0.403069,-0.273307,0.501479,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185690,1742435879,615038563,2.52064,-7.98322,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185692,1742435980,20955,47.6323,35.7384,46.7926,0.920572,47.6052,0.144455,47.5961,0.0497115,47.5997,0.0518247,47.5851,0.0206839,47.613,0.0335867,47.572,0.043871,47.6058,0.0491843,47.6159,0.0724198,47.6387,0.0310043,47.6155,0.04656
1742435879.617076838,8605,1742435879,616542373,0.296706,0,-0.00791156,-0.0498287,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185692,0,0,0.29383,0.00144196,-0.135273,-0.269855,-0.179923,0.38086,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,185691,1742435879,616287589,2.033,-9.187,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,185693,1742435980,21954,47.6323,35.7384,46.8057,0.915528,47.6052,0.141921,47.5961,0.0497115,47.5997,0.0518247,47.5719,0.0232694,47.613,0.0335867,47.572,0.043871,47.6058,0.0491843,47.6159,0.0724198,47.6387,0.0310043,47.6155,0.0413866
