Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742437933.442722695,6596,1742437933,441729439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20993,0,0,0.298144,0.0028801,-0.000686646,-0.135273,0.0653687,-0.269422,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0.296706,-0.0526323,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20992,1742437933,441148442,-3.81696,6.84541,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20994,1742438033,834012,47.6456,35.7483,46.8189,0.935705,47.6184,0.152058,47.6093,0.0523278,47.5997,0.054416,47.5983,0.0258549,47.6262,0.0465047,47.5851,0.0490322,47.619,0.0673048,47.629,0.0801791,47.6784,0.0542575,47.6287,0.0594933
1742437933.443345931,6597,1742437933,442676198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20994,0,0,0.298144,0.0028801,-0.000686646,0.1339,0.0915161,-0.454282,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20994,1742437933,443163402,-3.22172,6.52875,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20995,1742438033,834942,47.6456,35.7483,46.8189,0.933183,47.6052,0.152058,47.6225,0.0470951,47.5997,0.054416,47.5983,0.0258549,47.6262,0.0465047,47.5851,0.0490322,47.619,0.0724821,47.629,0.0750063,47.6784,0.0542575,47.6287,0.06208
1742437933.444360563,6598,1742437933,443871567,0.296706,0,0.00498881,-0.00874085,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,20996,0,0,0.298144,0.0028801,0.268482,-0.539024,0.0964966,-0.36906,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20994,1742437933,443163402,-3.22172,6.52875,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20996,1742438033,835944,47.6456,35.7483,46.8189,0.935705,47.6052,0.157127,47.6225,0.0523278,47.5997,0.0518247,47.5983,0.0258549,47.6262,0.0387539,47.5851,0.0464516,47.619,0.0647162,47.629,0.067247,47.6784,0.0516738,47.6287,0.0646666
1742437933.445354875,6599,1742437933,444832343,0.296706,0,0.00498881,-0.00874085,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,20997,0,0,0.298144,0.0028801,-0.135273,-0.135273,0.0715942,-0.386104,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20996,1742437933,444164402,-2.42082,5.55365,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20997,1742438033,836950,47.6456,35.7483,46.8189,0.935705,47.6052,0.162195,47.6225,0.0575606,47.5997,0.0518247,47.5983,0.0232694,47.6262,0.0413375,47.5851,0.0516129,47.619,0.0647162,47.629,0.0698334,47.6784,0.0516738,47.6287,0.0594933
1742437933.446340770,6600,1742437933,445820350,0.296706,0,-0.00307858,0.00150075,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,20998,0,0,0.298144,0.0028801,0.268482,-0.135273,0.0516724,-0.430683,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20997,1742437933,445185657,-2.79311,5.47918,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20997,1742438033,836950,47.6456,35.7483,46.8189,0.935705,47.6052,0.162195,47.6225,0.0575606,47.5997,0.0518247,47.5983,0.0232694,47.6262,0.0413375,47.5851,0.0516129,47.619,0.0647162,47.629,0.0698334,47.6784,0.0516738,47.6287,0.0594933
1742437933.447341610,6601,1742437933,446849350,0.296706,0,-0.00307858,-0.00874085,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,20998,0,0,0.298144,0.0028801,0.268482,-0.135273,0.0516724,-0.430683,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20998,1742437933,446158817,-3.3657,5.79406,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20998,1742438033,837943,47.6456,35.7384,46.8189,0.933183,47.6052,0.157127,47.6225,0.0575606,47.5997,0.0518247,47.5983,0.0284404,47.6262,0.0361703,47.5851,0.0516129,47.619,0.0569502,47.629,0.0750063,47.6652,0.0594249,47.6287,0.06208
1742437933.448349106,6602,1742437933,447798189,0.296706,0,-0.00307858,-0.00874085,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,21000,0,0,0.298144,0.0028801,-0.269855,0.403069,0.0603882,-0.365127,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,20998,1742437933,447210089,-3.3657,5.79406,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,20999,1742438033,838942,47.6456,35.7384,46.8189,0.930661,47.6052,0.159661,47.6225,0.0575606,47.5865,0.0466422,47.5983,0.0284404,47.6262,0.0361703,47.5851,0.0412903,47.619,0.051773,47.629,0.0724198,47.6784,0.0620086,47.6155,0.05432
1742437933.449352441,6603,1742437933,448885590,0.296706,0,-0.0138352,0.00491455,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,21000,0,0,0.298144,0.0028801,-0.269855,0.403069,0.0603882,-0.365127,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,21000,1742437933,448159504,-2.70627,5.09903,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,21000,1742438033,839943,47.6456,35.7384,46.8189,0.935705,47.6052,0.169798,47.6225,0.0575606,47.5865,0.0388685,47.5983,0.0258549,47.6262,0.0310031,47.5851,0.0464516,47.619,0.051773,47.629,0.067247,47.6784,0.0542575,47.6155,0.0517333
1742437933.450345697,6604,1742437933,449846301,0.296706,0,-0.0138352,0.00491455,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,21002,0,0,0.298144,0.0028801,0.403069,-0.000686646,0.0591431,-0.416262,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,21000,1742437933,449154648,-2.70627,5.09903,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,21001,1742438033,840943,47.6456,35.7483,46.8189,0.938227,47.6052,0.172332,47.6225,0.0523278,47.5865,0.0388685,47.5983,0.0310259,47.6262,0.0232524,47.5851,0.0516129,47.619,0.051773,47.629,0.067247,47.6784,0.0490901,47.6287,0.0569066
1742437933.451342505,6605,1742437933,450835205,0.296706,0,-0.00576777,-0.0121548,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,0.296706,0,0.50363,-0.50363,21002,0,0,0.298144,0.0028801,0.403069,-0.000686646,0.0591431,-0.416262,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,21002,1742437933,451161927,-3.17136,5.70376,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,21003,1742438033,842945,47.6456,35.7483,46.8057,0.938227,47.6052,0.167264,47.6225,0.0523278,47.5865,0.0414598,47.5983,0.0284404,47.6262,0.0180852,47.5982,0.0490322,47.619,0.051773,47.629,0.067247,47.6784,0.0542575,47.6155,0.05432
