Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_usec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_usec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_usec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_seq,sim_sec,sim_usec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1742438002.119784135,14147,1742438002,118932224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89584,0,0,0.296706,0.00144196,-0.000686646,0.403069,0.188639,-0.00721069,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999,0,0,0.296724,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89583,1742438002,118461405,1.38738,0.947084,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89583,1742438102,508942,47.6456,35.7483,46.8189,0.885263,47.6184,0.169798,47.6093,0.0575606,47.5997,0.044051,47.5851,0.0284404,47.6262,0.0206688,47.572,0.0464516,47.619,0.0310638,47.629,0.0232778,47.6652,0.0310043,47.6419,0.0388
1742438002.120430507,14148,1742438002,119971176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89585,0,0,0.296706,0.00144196,0.1339,-0.269855,0.153776,0.0242542,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999,0,0,0.296724,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89584,1742438002,119398212,1.61204,2.21364,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89585,1742438102,510943,47.6456,35.7483,46.8189,0.880218,47.6052,0.177401,47.6093,0.0497115,47.5997,0.0466422,47.5983,0.0232694,47.6262,0.012918,47.5851,0.0490322,47.619,0.0336524,47.629,0.0206914,47.6784,0.033588,47.6419,0.0336267
1742438002.121414003,14148,1742438002,119971176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89586,0,0,0.296706,0.00144196,-0.269855,-0.135273,0.138834,-0.00852173,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89585,1742438002,120476172,1.58186,1.43918,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89585,1742438102,510943,47.6456,35.7483,46.8189,0.880218,47.6052,0.177401,47.6093,0.0497115,47.5997,0.0466422,47.5983,0.0232694,47.6262,0.012918,47.5851,0.0490322,47.619,0.0336524,47.629,0.0206914,47.6784,0.033588,47.6419,0.0336267
1742438002.122446714,14150,1742438002,122146264,0.296706,0,-0.0283387,-0.0367741,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89587,0,0,0.296706,0.00144196,0.1339,0.268482,0.0429565,0.0373645,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89587,1742438002,121469171,0.713692,0.0311431,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89586,1742438102,511942,47.6456,35.7483,46.8189,0.880218,47.6184,0.167264,47.6093,0.0549442,47.5997,0.0466422,47.5983,0.0232694,47.6262,0.012918,47.5851,0.0541935,47.619,0.0310638,47.629,0.0232778,47.6652,0.033588,47.6287,0.0362133
1742438002.123424546,14151,1742438002,123137407,0.296706,0,0.020534,-0.013219,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89588,0,0,0.296706,0.00144196,-0.135273,0.1339,0.162492,0.0465417,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89588,1742438002,122417466,1.85734,1.26719,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89587,1742438102,512944,47.6456,35.7483,46.8189,0.877696,47.6184,0.169798,47.6093,0.0497115,47.5997,0.0518247,47.5851,0.0258549,47.6262,0.0180852,47.5851,0.0464516,47.619,0.0388297,47.629,0.0232778,47.6652,0.0361717,47.6287,0.0362133
1742438002.124421513,14151,1742438002,123137407,0.296706,0,0.020534,-0.013219,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89590,0,0,0.296706,0.00144196,-0.000686646,-0.000686646,0.167472,-0.0373645,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89588,1742438002,123385633,1.85734,1.26719,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89589,1742438102,514943,47.6456,35.7483,46.8189,0.88274,47.6184,0.172332,47.6093,0.0575606,47.5997,0.0388685,47.5983,0.0361969,47.6262,0.0155016,47.5851,0.0490322,47.619,0.044007,47.629,0.0336235,47.6652,0.0310043,47.6419,0.0336267
1742438002.125414160,14153,1742438002,125134094,0.296706,0,0.000131532,0.000102774,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89590,0,0,0.296706,0.00144196,-0.000686646,-0.000686646,0.167472,-0.0373645,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89590,1742438002,124396873,1.15603,2.34067,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89589,1742438102,514943,47.6456,35.7483,46.8189,0.88274,47.6184,0.172332,47.6093,0.0575606,47.5997,0.0388685,47.5983,0.0361969,47.6262,0.0155016,47.5851,0.0490322,47.619,0.044007,47.629,0.0336235,47.6652,0.0310043,47.6419,0.0336267
1742438002.126413720,14154,1742438002,126140854,0.296706,0,-0.0256495,-0.0200415,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89592,0,0,0.296706,0.00144196,0.1339,-0.404442,0.203581,0.01901,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89591,1742438002,125408176,0.601657,1.69878,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89591,1742438102,516943,47.6456,35.7483,46.8189,0.897873,47.6184,0.18247,47.6093,0.0654098,47.5997,0.0414598,47.5851,0.0284404,47.6262,0.0180852,47.5851,0.0490322,47.619,0.044007,47.6422,0.0310371,47.6652,0.0387554,47.6419,0.0362133
1742438002.127418143,14155,1742438002,127124061,0.296706,0,-0.0148924,0.0468901,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89593,0,0,0.296706,0.00144196,-0.404442,0.268482,0.132609,-0.0111438,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89592,1742438002,126378423,1.97779,2.06413,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89592,1742438102,517943,47.6456,35.7483,46.8189,0.907962,47.6184,0.179935,47.6093,0.0758754,47.6129,0.0388685,47.5851,0.0232694,47.6262,0.0155016,47.5851,0.0490322,47.619,0.0414184,47.6422,0.0413828,47.6652,0.0387554,47.6419,0.0388
1742438002.128420583,14156,1742438002,128137060,0.296706,0,0.0640276,-0.0231291,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89593,0,0,0.296706,0.00144196,-0.404442,0.268482,0.132609,-0.0111438,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,0.296706,0,0,0,89593,1742438002,127390175,1.07925,1.62979,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,89592,1742438102,517943,47.6456,35.7483,46.8189,0.907962,47.6184,0.179935,47.6093,0.0758754,47.6129,0.0388685,47.5851,0.0232694,47.6262,0.0155016,47.5851,0.0490322,47.619,0.0414184,47.6422,0.0413828,47.6652,0.0387554,47.6419,0.0388
